sal,grade,patco,major,age,male,vet,handvet,hand,yos,edyrs,promo,exit,supmgr,race,minority,grade4
22686,5,4,,40,0,0,0,0,13,13,0,0,0,2,1,2
26045,7,3,,34,0,0,0,0,6,13,0,0,0,2,1,2
25224,7,3,,31,0,0,0,0,10,12,0,0,0,2,1,2
32558,7,1,HEALT,30,0,0,0,0,6,16,0,0,0,2,1,2
34012,9,2,,48,0,0,0,0,15,14,0,0,0,2,1,3
61599,13,2,BUSAD,50,0,0,0,0,28,16,0,0,0,2,1,4
45697,12,2,BUSAD,44,0,0,0,0,5,16,0,0,0,2,1,3
21488,5,3,,31,0,0,0,0,8,13,0,0,0,2,1,2
43522,12,2,BUSAD,34,0,0,0,0,6,16,0,0,0,2,1,3
17462,4,4,,27,0,1,0,0,4,15,0,0,0,2,1,1
20796,5,3,,61,0,0,0,0,4,12,0,0,0,2,1,2
29977,6,3,,52,0,0,0,0,19,13,0,0,0,2,1,2
26595,7,3,,36,0,0,0,0,12,12,0,0,0,2,1,2
25562,6,3,,29,0,0,0,0,11,12,0,0,0,2,1,2
26595,7,3,,39,0,0,0,0,9,15,0,0,0,2,1,2
22486,6,3,,21,0,0,0,0,2,12,0,0,0,2,1,2
23678,7,2,BUSAD,26,0,0,0,0,4,16,1,0,0,2,1,2
22479,6,4,,26,1,0,0,0,3,12,0,0,0,2,1,2
17462,4,3,,29,1,0,0,0,6,14,0,0,0,2,1,1
25256,7,3,,31,1,0,0,0,3,13,0,0,0,2,1,2
30557,9,2,,31,1,0,0,0,9,12,,1,0,2,1,3
23012,4,4,,57,1,1,0,0,27,13,0,0,0,2,1,1
83644,15,1,LAW,48,1,0,0,0,19,18,1,0,1,2,1,4
38821,11,2,,34,1,0,0,0,15,12,1,0,0,2,1,3
21308,6,3,,24,1,0,0,0,4,12,1,0,0,2,1,2
21026,5,5,,46,1,1,0,0,4,12,0,0,0,2,1,2
24857,6,3,,38,1,1,0,0,21,12,0,0,0,2,1,2
45697,12,2,BUSAD,46,1,1,0,0,22,16,0,0,0,2,1,3
23181,6,5,,42,1,1,0,0,15,14,0,0,0,2,1,2
60672,13,2,BUSAD,47,1,1,0,0,26,16,0,0,1,2,1,4
41672,11,1,,45,1,0,0,0,23,12,0,0,1,2,1,3
59934,13,2,,59,1,1,0,0,7,12,0,0,1,2,1,4
39719,11,5,,43,1,1,0,0,17,13,0,0,1,2,1,3
56605,13,2,SOC,53,1,0,0,0,29,16,0,0,0,2,1,4
32466,9,2,PUBAF,56,1,1,0,0,9,16,0,0,0,2,1,3
18738,4,4,,33,1,1,1,0,10,12,0,0,0,2,1,1
38909,10,1,HEALT,35,1,0,0,0,5,16,0,0,1,2,1,3
49699,12,1,ENGR,44,1,1,0,0,13,16,0,0,0,2,1,3
31003,7,3,,38,1,1,0,0,14,10,0,0,0,2,1,2
47602,12,2,,51,1,1,0,0,23,12,1,0,0,2,1,3
22479,6,5,,53,1,1,1,1,4,13,0,0,0,2,1,2
58026,12,1,ENGR,59,1,1,1,0,29,16,0,0,0,2,1,3
36092,11,2,,44,1,1,0,0,22,15,0,0,0,2,1,3
39285,11,3,,41,1,1,0,0,14,15,0,0,0,2,1,3
16900,4,5,,22,1,0,0,0,2,12,,1,0,2,1,1
25334,6,5,,58,1,1,0,0,19,12,,1,0,2,1,2
39945,11,2,,32,1,0,0,0,11,12,0,0,0,2,1,3
70578,14,2,,47,1,1,0,0,16,12,0,0,0,2,1,4
45279,12,2,,50,1,0,0,0,9,13,0,0,0,2,1,3
31107,7,3,,63,1,1,0,1,41,13,0,0,1,2,1,2
21535,6,3,EDUC,39,1,0,0,0,2,16,1,0,0,2,1,2
35818,11,2,,40,1,1,0,0,16,12,0,0,1,2,1,3
35865,11,1,PUBAF,47,1,0,0,0,5,18,0,0,0,2,1,3
